epoch,batch,data_time,fwd_time,bwd_time,total_time,cls_loss,reg_loss,total_loss
0,0,8.564183,2.645741,0.089167,2.758434,1.128392,31.201979,32.330368
0,1,30.795754,0.736926,0.094182,0.843553,1.128824,28.563169,29.691992
0,2,17.587965,0.685533,0.090612,0.788295,1.124248,63.164333,64.288582
0,3,12.471851,0.673321,0.094511,0.780579,1.118520,24.599951,25.718473
0,4,14.857701,0.696254,0.096010,0.807497,1.123164,21.490461,22.613628
0,5,5.582844,0.624064,0.092466,0.728508,1.109606,30.890314,31.999918
0,6,11.959723,0.629404,0.096543,0.738410,1.082039,89.092651,90.174683
0,7,19.202062,0.678492,0.089882,0.782361,1.110283,223.816452,224.926743
0,8,16.432042,0.649735,0.094669,0.761464,1.028873,76.529350,77.558220
0,9,10.000500,0.607812,0.086795,0.709011,1.032552,130.043503,131.076035
0,10,14.947656,0.711081,0.097790,0.821096,0.962486,149.209061,150.171555
0,11,8.982129,0.643139,0.094441,0.749221,1.009991,21.599157,22.609148
0,12,6.151930,0.755777,0.095137,0.862541,0.939855,126.611351,127.551208
0,13,16.031215,0.642852,0.090483,0.748285,0.752929,61.877533,62.630474
0,14,6.949139,0.640289,0.095825,0.748251,0.793583,108.396751,109.190331
0,15,7.872391,0.655826,0.092479,0.759985,0.750014,109.926628,110.676636
0,16,17.266374,0.683807,0.088567,0.788212,0.816897,21.562300,22.379198
0,17,16.664755,0.701382,0.093700,0.807593,0.730195,75.543732,76.273933
0,18,8.727891,0.687929,0.091890,0.791544,0.698060,72.995361,73.693413
0,19,5.913750,0.643128,0.094538,0.749269,1.968139,12.721114,14.689252
0,20,26.739393,0.724333,0.097211,0.834255,0.741495,118.235855,118.977356
0,21,8.942077,0.649155,0.098345,0.759284,0.801390,70.695702,71.497086
0,22,21.279865,0.735119,0.089106,0.836327,0.668797,14.578699,15.247498
0,23,7.190861,0.687482,0.098170,0.797878,0.312043,59.235920,59.547955
0,24,32.640470,0.748934,0.101410,0.862250,0.581936,23.505140,24.087074
0,25,23.502742,0.665139,0.099856,0.777689,0.539307,66.578926,67.118225
0,26,5.173274,0.616779,0.088535,0.717013,0.609518,135.409836,136.019394
0,27,12.848019,0.645874,0.095855,0.753449,0.428878,19.408894,19.837772
0,28,18.993689,0.786989,0.103842,0.903449,0.516390,20.678537,21.194927
0,29,1.250665,0.640171,0.105411,0.757802,1.368694,20.044317,21.413013
0,30,3.121430,0.603106,0.115223,0.730834,0.846807,60.077557,60.924366
0,31,2.155128,0.554595,0.093912,0.660216,0.638054,112.576256,113.214333
0,32,7.611501,0.693285,0.092809,0.797833,0.681690,19.148691,19.830381
0,33,14.218474,0.713614,0.093253,0.821644,0.793750,95.024117,95.817863
0,34,15.053078,0.622037,0.094230,0.728513,0.731891,18.153631,18.885523
0,35,16.210806,0.663038,0.097492,0.772723,0.759225,21.800451,22.559675
0,36,17.081497,0.644207,0.100616,0.756777,0.702127,18.112976,18.815105
0,37,21.790308,0.742720,0.096322,0.851496,0.651759,21.244225,21.895985
0,38,30.440840,0.735645,0.099130,0.846748,0.343471,35.785172,36.128643
0,39,1.703183,0.508656,0.084013,0.603921,1.560758,19.736084,21.296843
0,40,14.035212,0.689965,0.089696,0.791518,0.746823,56.822243,57.569061
0,41,4.208375,0.614354,0.099644,0.725780,0.357447,16.200218,16.557665
0,42,23.345199,0.772689,0.090584,0.874878,0.409289,89.441582,89.850876
0,43,27.763931,0.686907,0.093898,0.793342,0.531355,83.974861,84.506226
0,44,11.118851,0.661483,0.094671,0.767659,0.644792,62.199818,62.844604
0,45,12.759738,0.614673,0.096821,0.723711,0.557487,38.832153,39.389641
0,46,7.965347,0.621840,0.099587,0.733633,0.425750,72.031799,72.457542
0,47,9.657165,0.744866,0.101523,0.858037,0.577116,60.856319,61.433430
0,48,7.940950,0.630229,0.098540,0.740538,0.537325,38.166065,38.703392
0,49,13.743754,0.704331,0.089113,0.804787,0.725443,75.446762,76.172203
0,50,26.854637,0.790524,0.103480,0.906547,0.563265,115.089844,115.653091
0,51,10.772369,0.639400,0.092682,0.743771,0.459412,112.706116,113.165543
0,52,7.642718,0.605242,0.093754,0.711128,0.574242,18.008789,18.583031
0,53,25.414208,0.692439,0.095258,0.799855,0.308290,16.272207,16.580496
0,54,20.520015,0.694085,0.099938,0.806918,0.512881,126.807999,127.320877
0,55,19.263772,0.680485,0.096592,0.788711,0.739676,77.053162,77.792847
0,56,8.281804,0.610436,0.093507,0.715631,0.865424,61.469448,62.334866
0,57,19.557302,0.702747,0.096249,0.811451,0.346136,21.179174,21.525312
0,58,8.031682,0.628681,0.092753,0.733009,0.501417,123.791176,124.292564
0,59,6.332942,0.569788,0.085907,0.667048,0.712680,150.787415,151.500076
0,60,11.963892,0.647909,0.100361,0.762869,0.478173,12.859354,13.337526
0,61,10.642988,0.718678,0.104830,0.835639,0.613292,43.962498,44.575787
0,62,4.019384,0.620559,0.093716,0.725835,0.673828,194.032898,194.706741
0,63,21.281338,0.669628,0.107610,0.790008,0.531017,15.992476,16.523493
0,64,12.419070,0.661225,0.093757,0.767607,0.647924,15.488199,16.136124
0,65,11.339372,0.723608,0.099088,0.834993,0.395527,141.752014,142.147552
0,66,5.785616,0.657480,0.093913,0.762985,0.666109,205.875854,206.541977
0,67,13.810415,0.697798,0.105689,0.815197,0.349785,93.093010,93.442802
0,68,18.805453,0.751193,0.107616,0.871944,0.577151,15.666150,16.243303
0,69,15.679704,0.667759,0.108562,0.788116,0.288137,11.766171,12.054308
