epoch,total_time,avg_data_time,avg_fwd_time,avg_bwd_time,avg_batch_time
0,1052.7531,6.6129,0.3432,0.0475,0.3968
1,1061.0917,6.6113,0.2951,0.0513,0.7493
2,1082.2078,6.7895,0.3058,0.0562,0.7308
3,1069.0313,6.7493,0.2925,0.0519,0.7277
4,1096.7379,6.9134,0.3118,0.0644,0.7436
